["0", "0"]	2
["0", "1"]	2
["0", "10"]	2
["0", "11"]	2
["0", "12"]	9
["0", "13"]	1
["0", "14"]	30
["0", "15"]	8
["0", "16"]	1
["0", "17"]	1
["0", "19"]	7
["0", "2"]	25
["0", "20"]	1
["0", "21"]	1
["0", "22"]	20
["0", "23"]	33
["0", "25"]	3
["0", "26"]	2
["0", "28"]	14
["0", "29"]	24
["0", "3"]	2
["0", "31"]	1
["0", "32"]	1
["0", "33"]	15
["0", "34"]	1
["0", "35"]	33
["0", "36"]	37
["0", "38"]	1
["0", "39"]	18
["0", "40"]	2
["0", "41"]	3
["0", "43"]	1
["0", "44"]	11
["0", "46"]	4
["0", "47"]	5
["0", "48"]	1
["0", "49"]	1
["0", "5"]	12
["0", "6"]	2
["0", "7"]	1
["0", "9"]	20
["1", "0"]	3
["1", "1"]	128
["1", "11"]	1
["1", "12"]	2
["1", "13"]	1
["1", "14"]	2
["1", "15"]	1
["1", "19"]	1
["1", "2"]	3
["1", "21"]	1
["1", "23"]	1
["1", "27"]	1
["1", "28"]	1
["1", "29"]	2
["1", "30"]	1
["1", "32"]	1
["1", "35"]	1
["1", "36"]	3
["1", "37"]	1
["1", "43"]	1
["1", "44"]	2
["1", "46"]	2
["1", "48"]	1
["1", "5"]	3
["1", "9"]	1
["10", "0"]	20
["10", "10"]	2
["10", "11"]	23
["10", "12"]	2
["10", "13"]	1
["10", "14"]	6
["10", "15"]	42
["10", "16"]	2
["10", "17"]	2
["10", "19"]	56
["10", "2"]	3
["10", "21"]	3
["10", "22"]	5
["10", "23"]	5
["10", "25"]	1
["10", "26"]	4
["10", "28"]	5
["10", "29"]	24
["10", "31"]	7
["10", "33"]	5
["10", "34"]	2
["10", "35"]	13
["10", "36"]	3
["10", "37"]	1
["10", "39"]	11
["10", "40"]	1
["10", "41"]	6
["10", "42"]	2
["10", "43"]	5
["10", "44"]	53
["10", "46"]	22
["10", "47"]	13
["10", "48"]	3
["10", "49"]	1
["10", "5"]	30
["10", "6"]	1
["10", "9"]	37
["11", "0"]	6
["11", "10"]	5
["11", "11"]	51
["11", "12"]	4
["11", "14"]	6
["11", "15"]	24
["11", "17"]	1
["11", "19"]	6
["11", "2"]	9
["11", "21"]	3
["11", "22"]	10
["11", "23"]	18
["11", "25"]	1
["11", "26"]	10
["11", "28"]	6
["11", "29"]	9
["11", "31"]	2
["11", "32"]	1
["11", "33"]	5
["11", "34"]	1
["11", "35"]	21
["11", "36"]	9
["11", "38"]	3
["11", "39"]	42
["11", "41"]	1
["11", "43"]	1
["11", "44"]	9
["11", "46"]	49
["11", "47"]	12
["11", "48"]	1
["11", "5"]	38
["11", "6"]	2
["11", "9"]	33
["12", "10"]	1
["12", "16"]	1
["12", "17"]	4
["12", "2"]	1
["12", "21"]	5
["12", "22"]	2
["12", "38"]	1
["12", "41"]	2
["12", "46"]	2
["12", "48"]	14
["12", "5"]	2
["12", "9"]	2
["13", "13"]	9
["13", "25"]	9
["13", "28"]	2
["13", "33"]	1
["13", "34"]	4
["13", "38"]	1
["13", "40"]	1
["13", "41"]	1
["13", "6"]	5
["14", "0"]	2
["14", "1"]	2
["14", "10"]	2
["14", "11"]	22
["14", "12"]	3
["14", "14"]	1
["14", "15"]	2
["14", "16"]	3
["14", "17"]	1
["14", "19"]	21
["14", "2"]	1
["14", "22"]	2
["14", "23"]	3
["14", "26"]	1
["14", "29"]	2
["14", "31"]	9
["14", "35"]	3
["14", "36"]	1
["14", "37"]	1
["14", "39"]	6
["14", "41"]	9
["14", "43"]	3
["14", "44"]	4
["14", "46"]	13
["14", "47"]	15
["14", "5"]	10
["14", "9"]	4
["15", "18"]	1
["16", "0"]	8
["16", "11"]	5
["16", "15"]	1
["16", "2"]	1
["16", "22"]	1
["16", "23"]	1
["16", "25"]	1
["16", "26"]	1
["16", "28"]	1
["16", "3"]	1
["16", "31"]	12
["16", "34"]	1
["16", "36"]	1
["16", "37"]	3
["16", "39"]	1
["16", "41"]	18
["16", "43"]	2
["16", "44"]	2
["16", "46"]	1
["16", "47"]	8
["16", "5"]	2
["17", "24"]	1
["17", "25"]	1
["17", "34"]	5
["17", "49"]	1
["17", "6"]	2
["18", "0"]	12
["18", "10"]	2
["18", "11"]	29
["18", "12"]	2
["18", "14"]	5
["18", "15"]	39
["18", "17"]	1
["18", "19"]	42
["18", "2"]	2
["18", "20"]	1
["18", "21"]	1
["18", "22"]	4
["18", "23"]	7
["18", "26"]	4
["18", "29"]	10
["18", "3"]	2
["18", "31"]	7
["18", "33"]	4
["18", "35"]	4
["18", "36"]	3
["18", "39"]	15
["18", "41"]	5
["18", "43"]	4
["18", "44"]	53
["18", "46"]	21
["18", "47"]	25
["18", "5"]	19
["18", "6"]	1
["18", "8"]	1
["18", "9"]	13
["19", "10"]	2
["19", "11"]	16
["19", "12"]	10
["19", "13"]	5
["19", "14"]	31
["19", "15"]	11
["19", "17"]	3
["19", "19"]	3
["19", "2"]	46
["19", "20"]	1
["19", "21"]	1
["19", "22"]	22
["19", "23"]	41
["19", "25"]	4
["19", "26"]	4
["19", "28"]	37
["19", "29"]	14
["19", "32"]	1
["19", "33"]	20
["19", "35"]	32
["19", "36"]	43
["19", "38"]	3
["19", "39"]	45
["19", "40"]	4
["19", "41"]	2
["19", "44"]	1
["19", "46"]	11
["19", "47"]	7
["19", "48"]	5
["19", "5"]	27
["19", "6"]	7
["19", "7"]	1
["19", "8"]	1
["19", "9"]	20
["2", "0"]	5
["2", "10"]	2
["2", "11"]	48
["2", "12"]	3
["2", "14"]	3
["2", "15"]	23
["2", "17"]	2
["2", "19"]	13
["2", "2"]	8
["2", "22"]	7
["2", "23"]	11
["2", "26"]	4
["2", "28"]	7
["2", "29"]	7
["2", "31"]	3
["2", "32"]	1
["2", "33"]	1
["2", "34"]	1
["2", "35"]	12
["2", "36"]	7
["2", "38"]	1
["2", "39"]	34
["2", "4"]	1
["2", "40"]	1
["2", "41"]	3
["2", "43"]	1
["2", "44"]	25
["2", "46"]	37
["2", "47"]	29
["2", "48"]	2
["2", "5"]	72
["2", "9"]	22
["20", "0"]	5
["20", "10"]	3
["20", "11"]	2
["20", "12"]	18
["20", "13"]	5
["20", "14"]	25
["20", "15"]	5
["20", "19"]	1
["20", "2"]	18
["20", "21"]	2
["20", "22"]	20
["20", "23"]	12
["20", "24"]	2
["20", "25"]	3
["20", "26"]	2
["20", "28"]	13
["20", "29"]	6
["20", "31"]	1
["20", "33"]	17
["20", "34"]	1
["20", "35"]	19
["20", "36"]	23
["20", "38"]	4
["20", "39"]	14
["20", "40"]	6
["20", "44"]	1
["20", "46"]	3
["20", "47"]	2
["20", "5"]	9
["20", "6"]	5
["20", "9"]	17
["21", "11"]	1
["21", "12"]	2
["21", "13"]	9
["21", "14"]	3
["21", "17"]	2
["21", "2"]	3
["21", "20"]	2
["21", "22"]	1
["21", "23"]	1
["21", "25"]	3
["21", "28"]	5
["21", "33"]	3
["21", "34"]	5
["21", "35"]	2
["21", "36"]	1
["21", "38"]	24
["21", "39"]	1
["21", "40"]	7
["21", "5"]	1
["21", "6"]	11
["21", "9"]	1
["22", "0"]	1
["22", "1"]	1
["22", "10"]	1
["22", "11"]	38
["22", "12"]	13
["22", "13"]	2
["22", "14"]	8
["22", "15"]	8
["22", "16"]	1
["22", "17"]	2
["22", "19"]	10
["22", "2"]	15
["22", "20"]	1
["22", "21"]	5
["22", "22"]	8
["22", "23"]	30
["22", "25"]	1
["22", "26"]	5
["22", "28"]	6
["22", "29"]	7
["22", "3"]	1
["22", "31"]	6
["22", "32"]	1
["22", "33"]	6
["22", "35"]	25
["22", "36"]	6
["22", "37"]	1
["22", "38"]	1
["22", "39"]	34
["22", "41"]	3
["22", "43"]	1
["22", "44"]	5
["22", "46"]	55
["22", "47"]	12
["22", "48"]	11
["22", "49"]	1
["22", "5"]	24
["22", "8"]	1
["22", "9"]	21
["23", "11"]	1
["23", "13"]	1
["23", "17"]	2
["23", "21"]	14
["23", "22"]	2
["23", "25"]	1
["23", "3"]	2
["23", "35"]	4
["23", "39"]	6
["23", "46"]	1
["23", "47"]	1
["23", "48"]	9
