Overcast,1.2,0.036270759560837994
Overcast,2.5,0.08093273207068928
Light Snow,1.8,0.04923604996525695
Haze,6.0,0.09769703997385226
Rain,2.5,0.09259890076886945
Rain,1.5,0.15706638166545187
Haze,1.8,0.13922208246775564
Haze,8.0,0.04815475176589986
Snow,0.2,0.18232375671496887
Heavy Rain,1.2,0.04688164582578667
Heavy Rain,0.2,0.0730543611751405
Clear,10.0,0.10034692792053229
Rain,1.2,0.0647434199613949
Partly Cloudy,4.0,0.26139535013799226
Heavy Rain,0.5,0.13896460544538353
Overcast,1.8,0.10115055550663034
Light Rain,7.0,0.09858490865133047
Rain,1.8,0.16944165478410875
Scattered Clouds,5.0,0.06328024178713142
Mostly Cloudy,5.0,0.06652485069482138
Mostly Cloudy,2.5,0.026336547333991347
Heavy Rain,1.8,0.16615746939110249
Light Rain,1.2,0.07183004482443504
Scattered Clouds,10.0,0.10003475304636136
Mostly Cloudy,2.0,0.03441393702202522
Mostly Cloudy,9.0,0.1049254611345038
Light Rain,2.5,0.14709532629883523
Scattered Clouds,9.0,0.1054150397555718
Light Snow,0.8,0.13037631163024838
Light Snow,1.0,0.06929594666359626
Light Rain,9.0,0.0984829897637309
Light Snow,1.5,0.045064138483329706
Light Rain,1.5,0.1920823889967839
Mostly Cloudy,4.0,0.16426741578906437
Light Rain,5.0,0.12252950130735547
Overcast,2.0,0.21105997752222144
Light Rain,2.0,0.09526481922846736
Rain,2.0,0.04108077448027126
Light Snow,2.5,0.06624274543399448
Overcast,5.0,0.11131410663881068
Rain,5.0,0.02355494116064903
Clear,7.0,0.10210798271755023
Overcast,1.5,0.05759536273797802
Scattered Clouds,8.0,0.09473442464232688
Overcast,1.0,0.08005326492088512
Partly Cloudy,9.0,0.09460863322912229
Overcast,7.0,0.10144196954922567
Haze,4.0,0.08210761035820087
Heavy Rain,1.5,0.21838195404666863
Scattered Clouds,7.0,0.10105409276409014
Light Freezing Rain,3.0,0.08048627782902955
Light Rain,6.0,0.10090117246081737
Snow,0.5,0.1031125291409473
Light Rain,8.0,0.1410648907480283
Rain,1.0,0.19363569322833402
Light Rain,3.0,0.11384507025548173
Scattered Clouds,6.0,0.16760066404997162
Light Rain,10.0,0.0933410130906059
Rain,3.0,0.10654029751674512
Partly Cloudy,10.0,0.0991047656214204
Light Rain,1.8,0.146206471172935
Light Snow,4.0,0.04006398684366027
Light Snow,6.0,0.01705028382873731
Clear,8.0,0.09529862774435638
Partly Cloudy,7.0,0.07961632967148274
Clear,5.0,0.05705821063881392
Rain,0.5,0.07616885727563541
Overcast,4.0,0.10980920500190135
Mostly Cloudy,8.0,0.12527507261360996
Rain,4.0,0.06828870652253784
Partly Cloudy,8.0,0.10356631159371368
Haze,9.0,0.022045828123375286
Light Snow,2.0,0.05461597102020974
Partly Cloudy,5.0,0.07769283220802431
Haze,2.5,0.08260370682715953
Haze,5.0,0.1254768766130201
Haze,2.0,0.07622505497768649
Mostly Cloudy,7.0,0.08896732402727048
Overcast,10.0,0.10168134566330002
Clear,6.0,0.08956197414560312
Haze,3.0,0.09502330336657759
Clear,4.0,0.10288537537653947
Heavy Rain,3.0,0.07397078437490807
Rain,0.8,0.06685760322958044
Heavy Rain,1.0,0.05218194217078324
Clear,3.0,0.02751154908970578
Light Snow,1.2,0.1373770972583145
Heavy Rain,0.8,0.06739327414080976
Clear,9.0,0.10574248219115916
Mostly Cloudy,6.0,0.02611863554288518
Overcast,3.0,0.12282513782691325
Light Rain,1.0,0.35647786508286566
Overcast,8.0,0.09624102829383305
Overcast,9.0,0.11040402141029289
Haze,10.0,0.10949424303543986
Mostly Cloudy,10.0,0.09975476727573983
Overcast,6.0,0.10247979414538541
Light Rain,4.0,0.1085746371427536
