,val,pickup_cluster,dropoff_cluster
0,5.024730800498865,35,29
1,6.62362365080175,29,9
2,11.150528047545532,9,2
3,1.7689073867559346,49,38
4,9.78330333543998,43,35
5,10.61158402695542,29,28
6,2.3138150180065997,6,26
7,1.9112551784056109,40,9
8,9.107001181181932,35,36
9,8.971334473135144,39,9
10,30.903548727062283,33,15
11,2.80685724748349,18,47
12,4.522654625285787,9,36
13,10.884331988734512,19,28
14,8.057557821967706,36,9
15,3.471396468431841,26,15
16,34.19585297981086,47,29
17,4.225119837089877,5,5
18,4.820448299626884,2,5
19,14.566057709316901,42,19
20,10.759106200179218,11,9
21,2.413803140992661,3,16
22,3.4033716265270746,22,48
23,23.884147214613776,9,35
24,9.607510802564056,0,5
25,11.565204614392501,19,23
26,27.98132312959563,7,23
27,2.783932562257019,4,39
28,4.332147963231937,0,23
29,3.34753704582218,34,22
30,1.964840026325654,32,46
31,5.308423278256429,45,23
32,15.169704825320204,34,9
33,19.500850073071735,45,35
34,3.581363918398459,37,40
35,15.705754871518707,5,38
36,3.4569262125519966,33,12
37,9.410377498359207,47,5
38,4.3243618810436635,47,23
39,18.26840046195661,33,15
40,7.312494470200923,7,36
41,3.9904353847426077,43,11
42,6.060057926406585,29,47
43,7.8057931881442935,5,35
44,19.527120767921815,34,22
45,5.972442033859888,29,22
46,8.578866706316523,13,25
47,6.192695350479893,39,28
48,19.64821915360555,41,14
49,16.725421393176983,20,14
50,7.464013771344625,34,35
51,12.22527879180482,26,5
52,5.745373578088861,38,46
53,4.046753661403003,10,19
54,3.584594283994608,25,39
55,7.746345121077055,29,35
56,3.723277656396705,7,9
57,7.343156564088337,45,39
58,27.784221726284688,7,35
59,5.020031206923199,43,23
60,7.628235413662245,9,14
61,2.783288747325148,26,29
62,5.006427436942647,25,36
63,4.277894620264623,22,23
64,4.168212733732207,13,33
65,3.877609898051367,19,2
66,4.702059687548709,47,12
67,9.518763702735379,2,5
68,2.8166823880018224,34,23
69,5.243997794836735,34,0
70,27.572933849874808,0,35
71,5.14348268518361,29,33
72,23.62990646465087,19,9
73,5.340531018538638,45,2
74,12.004062414740503,7,39
75,4.542482313608886,8,19
76,4.595149425991815,10,19
77,4.421974668102827,2,46
78,3.9193026712205152,4,9
79,2.2963284260167964,3,35
80,13.51037167193002,47,35
81,6.588380218319812,18,15
82,inf,1,1
83,5.587453074329151,18,35
84,3.7190500754145237,10,29
85,7.073728192937063,5,46
86,2.903603381029316,34,11
87,2.019903143993464,3,15
88,6.431604635969641,18,33
89,3.966217213217672,18,14
90,5.757269096039544,20,47
91,inf,1,1
92,41.15270838094394,33,35
93,7.559520617341223,10,5
94,2.2747188598087282,4,6
95,12.402451407896859,42,22
96,2.4232660478534815,3,46
97,6.821486827274815,35,44
98,7.479175859237698,5,35
99,12.290416007506062,19,9
100,3.3294325405629306,24,11
101,4.708875305049831,0,22
102,3.3233618203402546,48,12
103,2.182964075908185,49,37
104,4.887315517104036,42,11
105,4.035642158112939,38,5
106,13.98243716572272,48,24
107,1.4778012166876304,0,32
108,11.00243686525154,12,48
109,3.3491132413493014,10,44
110,4.193234984987931,29,29
111,4.6758332947623895,34,14
112,8.965419554171682,48,35
113,14.44736313547855,0,35
114,11.075832586582406,20,36
